"";"Rich";"LCBD";"Repl";"RicDif";"Taxon_Group";"Taxon_Lake"
"Achensee...1";929;0,0179880548733718;0,421209791120362;0,190902827496743;"16S_Bacterioplankton";"Achensee 16S_Bacterioplankton"
"Almsee...2";671;0,0223452099839566;0,567674839615191;0,116096937738319;"16S_Bacterioplankton";"Almsee 16S_Bacterioplankton"
"Ausseer_See...3";570;0,0191317737120464;0,464793106350269;0,166129476046022;"16S_Bacterioplankton";"Ausseer_See 16S_Bacterioplankton"
"Baldeggersee...4";730;0,0198639082066391;0,532354033450111;0,110609465698711;"16S_Bacterioplankton";"Baldeggersee 16S_Bacterioplankton"
"Bielersee...5";732;0,0174526479331869;0,489519151499893;0,113787994293425;"16S_Bacterioplankton";"Bielersee 16S_Bacterioplankton"
"Brienzersee...6";445;0,0228224120298043;0,403061491086042;0,288558502886993;"16S_Bacterioplankton";"Brienzersee 16S_Bacterioplankton"
"Brunnsee...7";585;0,0216246679227269;0,520066755614741;0,151854757832285;"16S_Bacterioplankton";"Brunnsee 16S_Bacterioplankton"
"Burgschisee...8";798;0,0176960923460508;0,479062380949943;0,128248529084526;"16S_Bacterioplankton";"Burgschisee 16S_Bacterioplankton"
"Caumasee...9";495;0,023232578452402;0,469370124765403;0,22899559664659;"16S_Bacterioplankton";"Caumasee 16S_Bacterioplankton"
"Erlaufsee...10";413;0,0240257649454749;0,385317103197554;0,326093615551487;"16S_Bacterioplankton";"Erlaufsee 16S_Bacterioplankton"
"Gleinkersee...11";782;0,0184400452813235;0,497571533272;0,121974663349262;"16S_Bacterioplankton";"Gleinkersee 16S_Bacterioplankton"
"Greifensee...12";872;0,0181488897386576;0,45562482500641;0,159132934958512;"16S_Bacterioplankton";"Greifensee 16S_Bacterioplankton"
"Grundlsee...13";557;0,0199238093665697;0,468498882288037;0,175449770388494;"16S_Bacterioplankton";"Grundlsee 16S_Bacterioplankton"
"Hallstaettersee...14";785;0,017761669276763;0,483107009420434;0,125282399673188;"16S_Bacterioplankton";"Hallstaettersee 16S_Bacterioplankton"
"Halwilersee...15";605;0,0194000864445928;0,492877580712844;0,142457758219434;"16S_Bacterioplankton";"Halwilersee 16S_Bacterioplankton"
"Hechtsee...16";662;0,0194475825858181;0,514994716230625;0,121121759346334;"16S_Bacterioplankton";"Hechtsee 16S_Bacterioplankton"
"Hinterer_Gosausee...17";571;0,0210651962649658;0,50044238654709;0,162277878077137;"16S_Bacterioplankton";"Hinterer_Gosausee 16S_Bacterioplankton"
"Hintersteiner_See...18";733;0,0186845405282071;0,510097190262305;0,113470052950611;"16S_Bacterioplankton";"Hintersteiner_See 16S_Bacterioplankton"
"Hubertussee...19";770;0,0205418193339382;0,536874369467816;0,117238271689353;"16S_Bacterioplankton";"Hubertussee 16S_Bacterioplankton"
"Inkwilersee...20";588;0,0233143503377542;0,552346438715291;0,14736412913065;"16S_Bacterioplankton";"Inkwilersee 16S_Bacterioplankton"
"Irrsee...21";700;0,0182426253640113;0,502017609737072;0,114281756134915;"16S_Bacterioplankton";"Irrsee 16S_Bacterioplankton"
"Klostersee...22";748;0,0189742377227296;0,515236957657839;0,113094737754026;"16S_Bacterioplankton";"Klostersee 16S_Bacterioplankton"
"Krotensee...23";798;0,0179471367809619;0,482721921513757;0,128717745141628;"16S_Bacterioplankton";"Krotensee 16S_Bacterioplankton"
"Lag_Grond...24";952;0,0182072273843144;0,413681863494096;0,202035335945514;"16S_Bacterioplankton";"Lag_Grond 16S_Bacterioplankton"
"Langbuergner_See...25";757;0,0185683716973105;0,505870512801907;0,115786180870733;"16S_Bacterioplankton";"Langbuergner_See 16S_Bacterioplankton"
"Lunzer_Obersee...26";891;0,017704837126643;0,436967637533504;0,170487091943849;"16S_Bacterioplankton";"Lunzer_Obersee 16S_Bacterioplankton"
"Lunzer_Untersee...27";599;0,0191240381997683;0,484654277837706;0,14614108386339;"16S_Bacterioplankton";"Lunzer_Untersee 16S_Bacterioplankton"
"Mondsee...28";679;0,018821865352637;0,508401148744168;0,117424582207311;"16S_Bacterioplankton";"Mondsee 16S_Bacterioplankton"
"Murtensee...29";787;0,0175977905341295;0,481006770970144;0,124687436200699;"16S_Bacterioplankton";"Murtensee 16S_Bacterioplankton"
"Neuenburgersee...30";733;0,0173837393612876;0,488507751446751;0,113666102056825;"16S_Bacterioplankton";"Neuenburgersee 16S_Bacterioplankton"
"Offensee...31";703;0,0183514896034768;0,503714886057328;0,114374895721045;"16S_Bacterioplankton";"Offensee 16S_Bacterioplankton"
