"";"Lake_name";"Longitude";"Latitude";"Temp";"Chlorophyl.a";"Conductivity";"Lake_area";"Altitude";"18S_Zooplankton";"Zooplankton";"Phytoplankton";"18S_Protista";"16S_Bacterioplankton"
"1";"Achensee";11,70516667;47,45416667;16,8;0,52124426974867;224,4;679,999999999999;928,999999999999;"18S_Zooplankton";NA;NA;"18S_Protista";"16S_Bacterioplankton"
"2";"Almsee";13,9575;47,75167;14,2;0,0676586484738149;145,5;85;487;"18S_Zooplankton";"Zooplankton";"Phytoplankton";"18S_Protista";"16S_Bacterioplankton"
"3";"Ausseer_See";13,78639;47,64139;20,04;-0,0408219945202552;127;210;712;"18S_Zooplankton";"Zooplankton";"Phytoplankton";"18S_Protista";"16S_Bacterioplankton"
"4";"Baldeggersee";8,261;47,199;15,82;3,46979017312777;299,33;520;463;"18S_Zooplankton";"Zooplankton";NA;"18S_Protista";"16S_Bacterioplankton"
"5";"Bielersee";7,174;47,086;20,09;1,13783300182139;270,5;3780;429;"18S_Zooplankton";"Zooplankton";"Phytoplankton";"18S_Protista";"16S_Bacterioplankton"
"6";"Brienzersee";7,966;46,728;17,83;-0,0408219945202552;151,83;2980;564;"18S_Zooplankton";"Zooplankton";"Phytoplankton";"18S_Protista";"16S_Bacterioplankton"
"7";"Brunnsee";12,4365152973263;47,9836575942761;19,7;1,40609698841607;422,8;5,9;530;"18S_Zooplankton";"Zooplankton";"Phytoplankton";"18S_Protista";"16S_Bacterioplankton"
"8";"Burgschisee";7,668;47,169;19,38;1,80170980008122;307,17;20,65;465;"18S_Zooplankton";"Zooplankton";"Phytoplankton";"18S_Protista";"16S_Bacterioplankton"
"9";"Caumasee";9,296;46,82;16,9;0,494696241836107;295;10;997;"18S_Zooplankton";"Zooplankton";"Phytoplankton";"18S_Protista";"16S_Bacterioplankton"
"10";"Gleinkersee";14,29361;47,68778;18,8;1,73518911773966;199;13;804;"18S_Zooplankton";"Zooplankton";"Phytoplankton";"18S_Protista";"16S_Bacterioplankton"
