"";"Network";"Variable";"Intercept";"Std.Err.";"t-value";"p-value";"Smooth F-value";"Smooth p-value";"Adj R-sqr";"Expl.Deviance"
"1";"650 km";"Rich_PHY";"-4.60906675512443e-16";"0.685430146814634";"-6.72434204498289e-16";"0.999999999999999";"1.77535989738451";"0.373186354739445";"0.0220103191151881";"0.0554335665824548"
"2";"650 km";"LCBD_PHY";"-9.61302397942027e-21";"0.000216058169335649";"-4.44927586352281e-17";"1";"0.866122321844671";"0.66962600346113";"-0.00376592247362062";"0.0237514013717297"
"3";"650 km";"Repl_PHY";"-5.64260197947078e-18";"0.0143502212737153";"-3.93206618340171e-16";"1";"0.418569921195185";"0.52077288232271";"-0.0120095557786266";"0.00864465896868529"
"4";"650 km";"RicDif_PHY";"6.8998494720248e-18";"0.015235596258474";"4.52876891390917e-16";"1";"0.154361913541301";"0.696167055157654";"-0.0175614796390366";"0.00320553360358864"
"5";"325 km";"Rich_PHY";"-5.80878563967076e-16";"0.692553843723701";"-8.38748595840327e-16";"0.999999999999999";"1.07630407806568";"0.304747366956524";"0.00157612690850384";"0.0219606813604228"
"6";"325 km";"LCBD_PHY";"-9.29256945941316e-20";"0.000210608257581894";"-4.41225314054925e-16";"1";"2.66757787136529";"0.208312260626279";"0.0462339624156693";"0.0798571553801146"
"7";"325 km";"Repl_PHY";"-1.0479254478763e-23";"0.0146404555373332";"-7.15773798980561e-22";"1";"0.000339413579414188";"0.985543810990021";"-0.0208262079659756";"7.13667981587711e-06"
"8";"325 km";"RicDif_PHY";"3.23139249341914e-18";"0.0152579511925017";"2.11784167654643e-16";"1";"0.0133558251066314";"0.908560143004223";"-0.0205497720414736";"0.000278291356286495"
"9";"100 km";"Rich_PHY";"-5.80749940645379e-16";"0.686810322466558";"-8.45575440042483e-16";"0.999999999999999";"1.89849283690477";"0.174669571955182";"0.0180678122924397";"0.0381252592161134"
"10";"100 km";"LCBD_PHY";"-9.48319732340915e-20";"0.000214470505411069";"-4.42167901140205e-16";"1";"0.784591704499229";"0.455645495519807";"0.0109318568505912";"0.039014208648683"
"11";"100 km";"Repl_PHY";"-1.10410325109556e-18";"0.0143740183706399";"-7.68124279951376e-17";"1";"0.272893386588019";"0.603822553626092";"-0.0150620838483972";"0.00565449886937026"
"12";"100 km";"RicDif_PHY";"2.25012619227078e-18";"0.0152537971222993";"1.4751252912505e-16";"1";"0.0395121640410063";"0.843323025150417";"-0.0199941458976334";"0.000822550597519282"
"13";"65 km";"Rich_PHY";"-9.42055475210265e-17";"0.698986839342505";"-1.34774422376307e-16";"1";"0.178205296613548";"0.67488378555888";"-0.0170583425436412";"0.00370006587917597"
"14";"65 km";"LCBD_PHY";"-9.19976050010024e-20";"0.000212817303948882";"-4.32284420928008e-16";"1";"1.68434887508824";"0.340515214084921";"0.026121142399515";"0.0590270262223669"
"15";"65 km";"Repl_PHY";"-5.88784672006416e-18";"0.0139168923957484";"-4.23071943982472e-16";"1";"2.26774496862391";"0.191123600604813";"0.0481862892497545";"0.0774872262790972"
"16";"65 km";"RicDif_PHY";"5.43552516214256e-18";"0.0148904823514166";"3.65033518314835e-16";"1";"1.61492308262152";"0.326567914080398";"0.0280156334308559";"0.0601450940271894"
"17";"6.5 km";"Rich_PHY";"-4.97467626238285e-16";"0.678369123713503";"-7.33328815903452e-16";"0.999999999999999";"2.74793496453386";"0.227240418270481";"0.0420562373686508";"0.0762901336828847"
"18";"6.5 km";"LCBD_PHY";"-1.08145140523857e-19";"0.000214577143159505";"-5.03991892759371e-16";"1";"0.919669343411416";"0.501364913328747";"0.00994805517853525";"0.0412753411393741"
"19";"6.5 km";"Repl_PHY";"1.71740128798759e-18";"0.0145203441254809";"1.18275522477034e-16";"1";"0.797696239271592";"0.37625219333457";"-0.00414504472020316";"0.0163488046347381"
"20";"6.5 km";"RicDif_PHY";"1.75944411881732e-18";"0.01524914072313";"1.15379886038338e-16";"1";"0.068858130323351";"0.794169144147917";"-0.0193715107680947";"0.00143252890809876"
"21";"Fluvial";"Rich_PHY";"-1.58514944550452e-16";"0.696956602139036";"-2.2743875883226e-16";"1";"0.145828596837633";"0.818112430614286";"-0.011158743816247";"0.0153636028748614"
"22";"Fluvial";"LCBD_PHY";"-1.99056838906938e-19";"0.000210409193650766";"-9.46046298895707e-16";"0.999999999999999";"2.63464612809718";"0.201024450101359";"0.0480360825444113";"0.0812116486265806"
"23";"Fluvial";"Repl_PHY";"-1.22666654245242e-19";"0.014398168040088";"-8.51960151483911e-18";"1";"0.111115904595048";"0.740335248575101";"-0.0184757439055374";"0.00230956514485235"
"24";"Fluvial";"RicDif_PHY";"1.75945112809369e-18";"0.0151976852166476";"1.15770994267363e-16";"1";"0.394884200574557";"0.532723786484422";"-0.0125037425571326";"0.00815966769089282"
"25";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"26";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"27";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"29";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
