"";"Network";"Variable";"Intercept";"Std.Err.";"t-value";"p-value";"Smooth F-value";"Smooth p-value";"Adj R-sqr";"Expl.Deviance"
"1";"650 km";"Rich_ZOO.18S";"-3.78381397652931e-16";"0.632723170584261";"-5.98020453879587e-16";"1";"7.52145298614056";"0.0124991665666053";"0.14530305971791";"0.168781340334115"
"2";"650 km";"LCBD_18S.ZOO";"7.43150363845818e-19";"0.000848426693811135";"8.75915820738248e-16";"0.999999999999999";"8.12714516674211";"0.00647733072889656";"0.129468789031855";"0.147637013911046"
"3";"650 km";"Repl_18S.ZOO";"5.45198347279309e-18";"0.010746523198557";"5.0732533416251e-16";"1";"2.85113964123448";"0.0979395994910069";"0.0371330139974498";"0.0571932371827166"
"4";"650 km";"RicDif_18S.ZOO";"2.29210765512825e-18";"0.0106876562755782";"2.14463077406954e-16";"1";"1.34988935865699";"0.251170951105731";"0.00724222964798837";"0.0279269288367923"
"5";"325 km";"Rich_ZOO.18S";"-2.06686664857089e-16";"0.617166547466472";"-3.34896091995844e-16";"1";"10.1141901184889";"0.00620602858631436";"0.186814872354592";"0.216689455712451"
"6";"325 km";"LCBD_18S.ZOO";"4.49415162333437e-19";"0.000826295878418465";"5.43891327636319e-16";"1";"9.30332099815624";"0.00870856935339959";"0.174291279902554";"0.204601932680228"
"7";"325 km";"Repl_18S.ZOO";"9.54086723804221e-18";"0.0104462779340055";"9.13326957057509e-16";"0.999999999999999";"5.75785261876179";"0.0204331781779371";"0.0901841715509494";"0.109139392128934"
"8";"325 km";"RicDif_18S.ZOO";"-1.18534688194313e-18";"0.010812439082039";"-1.09628074937519e-16";"1";"0.0675290200925744";"0.917131251913933";"-0.0160748133725752";"0.00916041459796188"
"9";"100 km";"Rich_ZOO.18S";"-1.18935016902986e-15";"0.638707820448376";"-1.86211931489258e-15";"0.999999999999998";"8.11119530150164";"0.00651041575512878";"0.129058190790463";"0.14720854240904"
"10";"100 km";"LCBD_18S.ZOO";"1.85823823783453e-18";"0.000846525538441702";"2.19513547252834e-15";"0.999999999999998";"8.38385412586104";"0.00573305748523872";"0.133365792316484";"0.151429347324971"
"11";"100 km";"Repl_18S.ZOO";"1.68518321415564e-17";"0.0105878492553684";"1.59161995369475e-15";"0.999999999999999";"4.35664347724826";"0.0423237372190183";"0.0653568358574027";"0.0848299550512759"
"12";"100 km";"RicDif_18S.ZOO";"2.53646510161966e-18";"0.01081873147248";"2.34451248565671e-16";"1";"0.185183036349932";"0.669050834346384";"-0.0172577841679005";"0.00394252278258635"
"13";"65 km";"Rich_ZOO.18S";"1.71256546990148e-16";"0.651787197108869";"2.62749172965947e-16";"1";"5.66522740727639";"0.0638392227794889";"0.0930228983761247";"0.128055306753145"
"14";"65 km";"LCBD_18S.ZOO";"1.79276237341347e-19";"0.0008684645968696";"2.06428952875629e-16";"1";"5.26486369308064";"0.073216905164505";"0.0878632869902847";"0.122910050868554"
"15";"65 km";"Repl_18S.ZOO";"4.86556190143824e-19";"0.0109609109077406";"4.43901236164796e-17";"1";"0.970457509166351";"0.646478930035431";"-0.00166761001640969";"0.0273629772244352"
"16";"65 km";"RicDif_18S.ZOO";"6.50968767259955e-18";"0.0107127973796095";"6.07655259586065e-16";"1";"0.586623969825492";"0.492442991602292";"0.00256610947422364";"0.028360629851955"
"17";"6.5 km";"Rich_ZOO.18S";"-2.06184276001815e-16";"0.669042963457368";"-3.08177930661329e-16";"1";"3.22830145680307";"0.0788170240057356";"0.0443635935000677";"0.0642744404207481"
"18";"6.5 km";"LCBD_18S.ZOO";"4.02703664066045e-19";"0.000882033694855928";"4.5656267602319e-16";"1";"4.01223780174809";"0.0510028784117638";"0.0591377359796869";"0.0787609316027898"
"19";"6.5 km";"Repl_18S.ZOO";"2.10644993511469e-18";"0.0110368476162861";"1.90856121996865e-16";"1";"0.263013169704558";"0.610516811810887";"-0.0155947048983929";"0.00556475779646312"
"20";"6.5 km";"RicDif_18S.ZOO";"1.92058670554575e-18";"0.0106225567943294";"1.80802677051444e-16";"1";"1.08456175780998";"0.364103082005921";"0.0192993517426255";"0.0476054291674022"
"21";"Fluvial";"Rich_ZOO.18S";"-5.19435718691475e-16";"0.678500539291523";"-7.65564194295055e-16";"0.999999999999999";"1.82760711437477";"0.425098205265111";"0.0171549244382471";"0.050564405161998"
"22";"Fluvial";"LCBD_18S.ZOO";"5.66045081147196e-19";"0.000891900819683331";"6.34650253318715e-16";"1";"2.51763144066669";"0.256425444702964";"0.0379695372446618";"0.0727821850556093"
"23";"Fluvial";"Repl_18S.ZOO";"5.30841095752585e-18";"0.0109826137297349";"4.83346777748686e-16";"1";"0.774587983534431";"0.686973285628164";"-0.00563818068542155";"0.0216219433305027"
"24";"Fluvial";"RicDif_18S.ZOO";"-1.67273557469067e-18";"0.0107176365945343";"-1.56073175269231e-16";"1";"1.08004568116858";"0.304023092988086";"0.00166477866667791";"0.0224646777649583"
"25";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"26";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"27";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"29";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
