"";"Network";"Variable";"Intercept";"Std.Err.";"t-value";"p-value";"Smooth F-value";"Smooth p-value";"Adj R-sqr";"Expl.Deviance"
"1";"650 km";"Rich_ZOO";"-1.19319180112585e-16";"0.20627885587239";"-5.78436309470317e-16";"1";"5.59135905988923";"0.0382905813757138";"0.110791888560774";"0.138911965187215"
"2";"650 km";"LCBD_ZOO";"3.82024222067469e-19";"0.000750189024745639";"5.09237284825647e-16";"1";"2.94750460278617";"0.311002731424549";"0.0282335708926222";"0.0576161469652376"
"3";"650 km";"Repl_ZOO";"-4.33013153634381e-18";"0.0140639280559159";"-3.07889198460622e-16";"1";"1.10325057956473";"0.299034409277129";"0.00200947098286453";"0.0215872546412567"
"4";"650 km";"RicDif_ZOO";"-8.41970020955741e-18";"0.0150019545100984";"-5.61240217325669e-16";"1";"0.780231781875971";"0.3813219962604";"-0.00432875737276617";"0.0153646726930946"
"5";"325 km";"Rich_ZOO";"2.50130672724817e-18";"0.215426238283788";"1.16109659954843e-17";"1";"1.5664795751325";"0.270661947625939";"0.030179893327166";"0.0572222892444718"
"6";"325 km";"LCBD_ZOO";"-3.03172801803823e-19";"0.000732159415732869";"-4.14080315419227e-16";"1";"6.02760620563064";"0.0993078405453663";"0.0743820177260569";"0.104065504103816"
"7";"325 km";"Repl_ZOO";"-2.46583362197928e-17";"0.0127495009123853";"-1.93406286169515e-15";"0.999999999999998";"12.1838200095337";"0.00101820812571218";"0.179838240223491";"0.195922626524365"
"8";"325 km";"RicDif_ZOO";"-1.52632762157813e-23";"0.0147999523521572";"-1.0313057672484e-21";"1";"2.17582154795659";"0.146465520014354";"0.0225358360244921";"0.0417019420995265"
"9";"100 km";"Rich_ZOO";"2.42521539059304e-18";"0.216137189444604";"1.1220722342254e-17";"1";"1.33160706636291";"0.302297754405981";"0.023768116621021";"0.0498804755870295"
"10";"100 km";"LCBD_ZOO";"-4.22767499380798e-19";"0.00074653035120651";"-5.66309860942076e-16";"1";"3.59542566385601";"0.243602609003451";"0.037689071345924";"0.0667110851114136"
"11";"100 km";"Repl_ZOO";"-3.31535432752158e-17";"0.0127646345085263";"-2.59729671484684e-15";"0.999999999999998";"13.7914173359167";"0.00625361011335734";"0.177890028537667";"0.204907545873833"
"12";"100 km";"RicDif_ZOO";"3.84902802064472e-18";"0.0148680339741934";"2.58879420596261e-16";"1";"1.69911997010628";"0.198383616315039";"0.0135222382488569";"0.0328654459752733"
"13";"65 km";"Rich_ZOO";"-8.0827410532525e-17";"0.220911851350373";"-3.65880825489666e-16";"1";"0.00787543485127391";"0.930003794702112";"-0.0198399451163835";"0.000158343332653401"
"14";"65 km";"LCBD_ZOO";"-6.90338047265833e-20";"0.000756045144745181";"-9.13091039687196e-17";"1";"1.67195669374107";"0.201962537353285";"0.0130027629297167";"0.0323565379003888"
"15";"65 km";"Repl_ZOO";"-1.59989425764459e-17";"0.0136650071822409";"-1.17079649963435e-15";"0.999999999999999";"4.13177223307058";"0.0475585254501102";"0.0578221799918121";"0.0763074918333719"
"16";"65 km";"RicDif_ZOO";"-5.05181617352982e-18";"0.0151140839753812";"-3.34245607061502e-16";"1";"0.0295181386512423";"0.864289484295176";"-0.0193982213374533";"0.000590034323579249"
"17";"6.5 km";"Rich_ZOO";"-1.07751105359667e-16";"0.220555030934393";"-4.88545216598204e-16";"1";"0.169840474623767";"0.682596800714674";"-0.0165480816617196";"0.0033910441234852"
"18";"6.5 km";"LCBD_ZOO";"2.69257785597222e-19";"0.000750690888688231";"3.58679970217471e-16";"1";"2.41173823227746";"0.126763136650143";"0.0269329449302288";"0.0460139144351481"
"19";"6.5 km";"Repl_ZOO";"-6.3749799449018e-18";"0.0140900528283865";"-4.52445425332859e-16";"1";"0.913403809560094";"0.34383264148413";"-0.00170165310303672";"0.0179401055231726"
"20";"6.5 km";"RicDif_ZOO";"-6.25465027184717e-18";"0.0150416534796822";"-4.15821989271045e-16";"1";"0.512519408458536";"0.477397129698537";"-0.00965120664452335";"0.0101463142865932"
"21";"Fluvial";"Rich_ZOO";"-6.54328739723415e-17";"0.211100404875651";"-3.09960911779798e-16";"1";"4.76439474128514";"0.033779566835046";"0.0687374888289126";"0.0869978742437923"
"22";"Fluvial";"LCBD_ZOO";"2.69270096396476e-19";"0.000762836647679449";"3.52985265214508e-16";"1";"0.755904607855051";"0.388773626014382";"-0.00480914116846431";"0.0148933635481943"
"23";"Fluvial";"Repl_ZOO";"-1.09523294118094e-17";"0.0139907445266601";"-7.82826774582237e-16";"0.999999999999999";"1.75384374508862";"0.467578924081531";"0.0123688017862873";"0.0427269620795019"
"24";"Fluvial";"RicDif_ZOO";"-6.77076541257929e-18";"0.0150166601618334";"-4.50883574617209e-16";"1";"0.740929193924924";"0.654086865620104";"-0.0062987070515288";"0.0177487994420353"
"25";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"26";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"27";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"29";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
