Network,Variable,Intercept,Std.Err.,t-value,p-value,Smooth F-value,Smooth p-value,Adj R-sqr,Expl.Deviance
600 km,EnvTrack_CCA_S16,0.59,0.01,68.05,0,17.02,0,0.24,0.25
600 km,Rich_S16,717.69,20.19,35.54,0,1.1,0.3,0,0.02
600 km,LCBD_S16,0.02,0,79.61,0,0.73,0.66,0,0.03
600 km,Repl_S16,0.48,0.01,79.52,0,0.04,0.84,-0.02,0
600 km,RicDif_S16,0.16,0.01,23.22,0,0.48,0.75,-0.01,0.02
300 km,EnvTrack_CCA_S16,0.59,0.01,62.9,0,7.19,0.04,0.11,0.14
300 km,Rich_S16,717.69,18.57,38.64,0,10.5,0.02,0.16,0.19
300 km,LCBD_S16,0.02,0,81.13,0,3.1,0.13,0.04,0.06
300 km,Repl_S16,0.48,0.01,83.98,0,5.09,0.14,0.09,0.13
300 km,RicDif_S16,0.16,0.01,23.51,0,1.31,0.49,0.02,0.05
100 km,EnvTrack_CCA_S16,0.59,0.01,64.1,0,8.8,0.04,0.14,0.18
100 km,Rich_S16,717.69,17.98,39.92,0,14.06,0.01,0.21,0.25
100 km,LCBD_S16,0.02,0,82.88,0,5.17,0.03,0.08,0.09
100 km,Repl_S16,0.48,0,97.53,0,24.63,0,0.32,0.38
100 km,RicDif_S16,0.16,0.01,24.85,0,7.32,0.08,0.12,0.16
60 km,EnvTrack_CCA_S16,0.59,0.01,59.57,0,1.27,0.6,0.01,0.04
60 km,Rich_S16,717.69,19.49,36.82,0,4.31,0.05,0.07,0.09
60 km,LCBD_S16,0.02,0,83.61,0,6.14,0.02,0.09,0.11
60 km,Repl_S16,0.48,0.01,80.24,0,0.95,0.33,0,0.02
60 km,RicDif_S16,0.16,0.01,24.34,0,5.66,0.02,0.08,0.1
6 km,EnvTrack_CCA_S16,0.59,0.01,59.36,0,0.78,0.66,0,0.03
6 km,Rich_S16,717.69,20.19,35.55,0,1.13,0.29,0,0.02
6 km,LCBD_S16,0.02,0,80.26,0,1.73,0.19,0.01,0.03
6 km,Repl_S16,0.48,0.01,80.04,0,0.69,0.41,-0.01,0.01
6 km,RicDif_S16,0.16,0.01,23.07,0,0,0.97,-0.02,0
Fluvial,EnvTrack_CCA_S16,0.59,0.01,70.4,0,20.85,0.01,0.29,0.36
Fluvial,Rich_S16,717.69,20,35.89,0,2.2,0.41,0.02,0.06
Fluvial,LCBD_S16,0.02,0,82.48,0,4.72,0.23,0.07,0.11
Fluvial,Repl_S16,0.48,0.01,85.01,0,7.16,0.09,0.11,0.15
Fluvial,RicDif_S16,0.16,0.01,26.37,0,15.07,0.01,0.22,0.27
