Network,Variable,Intercept,Std.Err.,t-value,p-value,Smooth F-value,Smooth p-value,Adj R-sqr,Expl.Deviance
600 km,EnvTrack_CCA_PHY,0.27,0.03,10.26,0,0.65,0.43,-0.01,0.01
600 km,Rich_PHY,0,0.69,0,1,1.78,0.37,0.02,0.06
600 km,LCBD_PHY,0,0,0,1,0.87,0.65,0,0.02
600 km,Repl_PHY,0,0.01,0,1,0.42,0.52,-0.01,0.01
600 km,RicDif_PHY,0,0.02,0,1,0.15,0.7,-0.02,0
300 km,EnvTrack_CCA_PHY,0.27,0.03,10.51,0,2.98,0.09,0.04,0.06
300 km,Rich_PHY,0,0.69,0,1,1.08,0.3,0,0.02
300 km,LCBD_PHY,0,0,0,1,0.46,0.5,-0.01,0.01
300 km,Repl_PHY,0,0.01,0,1,0.14,0.71,-0.02,0
300 km,RicDif_PHY,0,0.02,0,1,0.01,0.91,-0.02,0
100 km,EnvTrack_CCA_PHY,0.27,0.03,10.46,0,2.48,0.12,0.03,0.05
100 km,Rich_PHY,0,0.69,0,1,1.9,0.17,0.02,0.04
100 km,LCBD_PHY,0,0,0,1,0.78,0.44,0.01,0.04
100 km,Repl_PHY,0,0.01,0,1,0.11,0.74,-0.02,0
100 km,RicDif_PHY,0,0.02,0,1,0.04,0.84,-0.02,0
60 km,EnvTrack_CCA_PHY,0.27,0.03,10.2,0,0.04,0.85,-0.02,0
60 km,Rich_PHY,0,0.69,0,1,2.05,0.16,0.02,0.04
60 km,LCBD_PHY,0,0,0,1,8.52,0.01,0.13,0.15
60 km,Repl_PHY,0,0.01,0,1,2.71,0.25,0.04,0.07
60 km,RicDif_PHY,0,0.01,0,1,1.59,0.32,0.03,0.06
6 km,EnvTrack_CCA_PHY,0.27,0.03,10.21,0,0.16,0.69,-0.02,0
6 km,Rich_PHY,0,0.68,0,1,2.62,0.34,0.02,0.05
6 km,LCBD_PHY,0,0,0,1,5.33,0.1,0.07,0.09
6 km,Repl_PHY,0,0.01,0,1,1.88,0.18,0.02,0.04
6 km,RicDif_PHY,0,0.02,0,1,0.41,0.53,-0.01,0.01
Fluvial,EnvTrack_CCA_PHY,0.27,0.03,10.24,0,0.39,0.53,-0.01,0.01
Fluvial,Rich_PHY,0,0.7,0,1,0.26,0.62,-0.02,0.01
Fluvial,LCBD_PHY,0,0,0,1,0.02,0.89,-0.02,0
Fluvial,Repl_PHY,0,0.01,0,1,0,0.99,-0.02,0
Fluvial,RicDif_PHY,0,0.02,0,1,0.03,0.87,-0.02,0
