Network,Variable,Intercept,Std.Err.,t-value,p-value,Smooth F-value,Smooth p-value,Adj R-sqr,Expl.Deviance
600 km,EnvTrack_CCA_18S.ZOO,0.62,0.04,16.09,0,2.89,0.25,0.04,0.08
600 km,Rich_ZOO.18S,0,0.22,0,1,3.07,0.13,0.07,0.1
600 km,LCBD_18S.ZOO,0,0,0,1,2.13,0.39,0.02,0.06
600 km,Repl_18S.ZOO,0,0.01,0,1,2.43,0.33,0.02,0.05
600 km,RicDif_18S.ZOO,0,0.02,0,1,1.77,0.19,0.02,0.04
300 km,EnvTrack_CCA_18S.ZOO,0.62,0.04,16.12,0,3.28,0.23,0.04,0.08
300 km,Rich_ZOO.18S,0,0.23,0,1,1.6,0.21,0.01,0.03
300 km,LCBD_18S.ZOO,0,0,0,1,5.49,0.12,0.08,0.11
300 km,Repl_18S.ZOO,0,0.01,0,1,9,0,0.15,0.17
300 km,RicDif_18S.ZOO,0,0.02,0,1,1.92,0.17,0.02,0.04
100 km,EnvTrack_CCA_18S.ZOO,0.62,0.04,16.07,0,2.63,0.26,0.04,0.07
100 km,Rich_ZOO.18S,0,0.23,0,1,1.43,0.24,0.01,0.03
100 km,LCBD_18S.ZOO,0,0,0,1,3.18,0.27,0.04,0.07
100 km,Repl_18S.ZOO,0,0.01,0,1,9.93,0.02,0.14,0.17
100 km,RicDif_18S.ZOO,0,0.02,0,1,1.66,0.2,0.01,0.04
60 km,EnvTrack_CCA_18S.ZOO,0.62,0.04,15.72,0,0.8,0.57,-0.01,0.02
60 km,Rich_ZOO.18S,0,0.23,0,1,0.27,0.6,-0.02,0.01
60 km,LCBD_18S.ZOO,0,0,0,1,1.46,0.23,0.01,0.03
60 km,Repl_18S.ZOO,0,0.01,0,1,2.96,0.3,0.03,0.06
60 km,RicDif_18S.ZOO,0,0.02,0,1,0.14,0.71,-0.02,0
6 km,EnvTrack_CCA_18S.ZOO,0.62,0.04,15.82,0,1.31,0.26,0.01,0.03
6 km,Rich_ZOO.18S,0,0.23,0,1,0.9,0.35,0,0.02
6 km,LCBD_18S.ZOO,0,0,0,1,2.36,0.13,0.03,0.05
6 km,Repl_18S.ZOO,0,0.01,0,1,0.09,0.77,-0.02,0
6 km,RicDif_18S.ZOO,0,0.02,0,1,1.51,0.23,0.01,0.03
Fluvial,EnvTrack_CCA_18S.ZOO,0.62,0.04,15.59,0,0.02,0.9,-0.02,0
Fluvial,Rich_ZOO.18S,0,0.23,0,1,1.21,0.28,0,0.03
Fluvial,LCBD_18S.ZOO,0,0,0,1,0.03,0.86,-0.02,0
Fluvial,Repl_18S.ZOO,0,0.01,0,1,1.72,0.28,0.04,0.07
Fluvial,RicDif_18S.ZOO,0,0.02,0,1,2.62,0.11,0.04,0.06
