Network,Variable,Intercept,Std.Err.,t-value,p-value,Smooth F-value,Smooth p-value,Adj R-sqr,Expl.Deviance
600 km,EnvTrack_CCA_ZOO,0.59,0.04,16.52,0,2.07,0.35,0.02,0.06
600 km,Rich_ZOO,5.9,0.23,25.17,0,4.01,0.11,0.07,0.1
600 km,LCBD_ZOO,0.02,0,23.08,0,0,0.96,-0.02,0
600 km,Repl_ZOO,0.37,0.01,25.79,0,0.33,0.57,-0.01,0.01
600 km,RicDif_ZOO,0.23,0.02,14.69,0,0.24,0.62,-0.02,0
300 km,EnvTrack_CCA_ZOO,0.59,0.03,16.97,0,5.27,0.09,0.07,0.11
300 km,Rich_ZOO,5.9,0.24,24.44,0,0.87,0.47,0.01,0.04
300 km,LCBD_ZOO,0.02,0,23.53,0,2.4,0.33,0.02,0.05
300 km,Repl_ZOO,0.37,0.01,28.14,0,9.92,0,0.15,0.17
300 km,RicDif_ZOO,0.23,0.01,15.11,0,3.13,0.08,0.04,0.06
100 km,EnvTrack_CCA_ZOO,0.59,0.04,16.84,0,4.06,0.14,0.06,0.09
100 km,Rich_ZOO,5.9,0.24,24.27,0,0.88,0.35,0,0.02
100 km,LCBD_ZOO,0.02,0,23.84,0,3.81,0.21,0.04,0.08
100 km,Repl_ZOO,0.37,0.01,28.57,0,13.39,0.01,0.17,0.2
100 km,RicDif_ZOO,0.23,0.01,15.08,0,2.96,0.09,0.04,0.06
60 km,EnvTrack_CCA_ZOO,0.59,0.04,16.27,0,0.65,0.42,-0.01,0.01
60 km,Rich_ZOO,5.9,0.24,24.13,0,0.08,0.85,-0.01,0.01
60 km,LCBD_ZOO,0.02,0,23.12,0,0.21,0.65,-0.02,0
60 km,Repl_ZOO,0.37,0.01,26.08,0,1.48,0.23,0.01,0.03
60 km,RicDif_ZOO,0.23,0.02,14.74,0,0.55,0.46,-0.01,0.01
6 km,EnvTrack_CCA_ZOO,0.59,0.04,16.24,0,0.46,0.5,-0.01,0.01
6 km,Rich_ZOO,5.9,0.24,24.45,0,1.61,0.21,0.01,0.03
6 km,LCBD_ZOO,0.02,0,23.12,0,0.2,0.65,-0.02,0
6 km,Repl_ZOO,0.37,0.01,25.96,0,0.98,0.33,0,0.02
6 km,RicDif_ZOO,0.23,0.02,14.7,0,0.3,0.59,-0.01,0.01
Fluvial,EnvTrack_CCA_ZOO,0.59,0.04,16.35,0,1.15,0.29,0,0.02
Fluvial,Rich_ZOO,5.9,0.24,24.38,0,0.75,0.42,0.01,0.03
Fluvial,LCBD_ZOO,0.02,0,23.12,0,0.21,0.65,-0.02,0
Fluvial,Repl_ZOO,0.37,0.01,25.88,0,0.7,0.41,-0.01,0.01
Fluvial,RicDif_ZOO,0.23,0.02,14.86,0,1.4,0.24,0.01,0.03
